CipherId,Name,Protocol,KeyExchange,Authentication,SymmetricEncryptionAlgorithm,Bits,HashAlgorithm
0x060040,SSL2_DES_64_CBC_WITH_MD5,SSL2,RSA,RSA,DES_64_CBC,64,MD5
0x0700C0,SSL2_DES_192_EDE3_CBC_WITH_MD5,SSL2,RSA,RSA,DES_192_EDE3_CBC,192,MD5
0x080080,SSL2_RC4_64_WITH_MD5,SSL2,RSA,RSA,RC4_64,64,MD5
0x800001,PCT_SSL_CERT_TYPE,PCT1_CERT_X509,PCT,,,,
0x800003,PCT_SSL_CERT_TYPE,PCT1_CERT_X509_CHAIN,PCT,,,,
0x810001,PCT_SSL_HASH_TYPE,PCT1_HASH_MD5,PCT,,,,
0x810003,PCT_SSL_HASH_TYPE,PCT1_HASH_SHA,PCT,,,,
0x820001,PCT_SSL_EXCH_TYPE,PCT1_EXCH_RSA_PKCS1,PCT,,,,
0x830004,PCT_SSL_CIPHER_TYPE_1ST_HALF,PCT1_CIPHER_RC4,PCT,,,,
0x842840,PCT_SSL_CIPHER_TYPE_2ND_HALF,PCT1_ENC_BITS_40,PCT1_MAC_BITS128,PCT,,,
0x848040,PCT_SSL_CIPHER_TYPE_2ND_HALF,PCT1_ENC_BITS_128,PCT1_MAC_BITS128,PCT,,,
0x8F8001,PCT_SSL_COMPAT,PCT_VERSION_1,PCT,,,,
